time,close,index,duration,epsilon,capital,episode,step,position,entry_price,exit_price,trade_len,pnl_ratio
2020-10-05 00:00:00,10660.27,850.0,59.45,0.0013,10897.43,102.0,7.0,-1.0,10600.44,10660.27,6.0,-0.56
2020-10-05 08:00:00,10639.03,858.0,60.2,0.0013,10967.28,103.0,7.0,-1.0,10707.66,10639.03,4.0,0.64
2020-10-05 19:00:00,10696.49,869.0,86.35,0.0012,11016.29,104.0,10.0,-1.0,10744.51,10696.49,1.0,0.45
2020-10-06 03:00:00,10762.13,877.0,60.46,0.0012,10984.11,105.0,7.0,-1.0,10730.78,10762.13,6.0,-0.29
2020-10-06 11:00:00,10746.15,885.0,59.99,0.0012,10964.58,106.0,7.0,1.0,10765.29,10746.15,6.0,-0.18
2020-10-06 19:00:00,10713.97,893.0,59.91,0.0012,10949.81,107.0,7.0,-1.0,10699.56,10713.97,5.0,-0.13
2020-10-07 03:00:00,10583.07,901.0,59.99,0.0012,10937.69,108.0,7.0,-1.0,10571.36,10583.07,6.0,-0.11
2020-10-07 11:00:00,10583.99,909.0,60.45,0.0012,10928.91,109.0,7.0,-1.0,10575.51,10583.99,6.0,-0.08
2020-10-07 19:00:00,10639.01,917.0,59.06,0.0011,10968.71,110.0,7.0,1.0,10600.41,10639.01,6.0,0.36
2020-10-08 03:00:00,10641.1,925.0,59.83,0.0011,10987.96,111.0,7.0,-1.0,10659.81,10641.1,4.0,0.18
2020-10-08 14:00:00,10639.85,936.0,84.51,0.0011,11022.86,112.0,10.0,1.0,10606.17,10639.85,1.0,0.32
2020-10-08 19:00:00,10880.18,941.0,35.15,0.0011,11055.42,113.0,4.0,-1.0,10912.42,10880.18,3.0,0.3
2020-10-09 03:00:00,10899.51,949.0,60.06,0.0011,11034.41,114.0,7.0,-1.0,10878.83,10899.51,6.0,-0.19
2020-10-09 06:00:00,10875.56,952.0,17.05,0.0011,11046.19,115.0,2.0,-1.0,10887.19,10875.56,1.0,0.11
2020-10-09 14:00:00,11067.68,960.0,62.45,0.0011,11134.1,116.0,7.0,1.0,10980.3,11067.68,2.0,0.8
2020-10-09 18:00:00,11048.0,964.0,27.66,0.001,11121.96,117.0,3.0,1.0,11060.06,11048.0,2.0,-0.11
2020-10-10 02:00:00,11077.53,972.0,68.87,0.001,11091.24,118.0,7.0,-1.0,11047.02,11077.53,6.0,-0.28
2020-10-10 08:00:00,11354.84,978.0,54.1,0.001,11119.84,119.0,5.0,-1.0,11384.2,11354.84,4.0,0.26
2020-10-10 16:00:00,11352.0,986.0,67.09,0.001,11085.91,120.0,7.0,-1.0,11317.46,11352.0,3.0,-0.31
2020-10-11 00:00:00,11345.5,994.0,65.97,0.001,11077.73,121.0,7.0,1.0,11353.88,11345.5,5.0,-0.07
2020-10-11 03:00:00,11365.34,997.0,19.52,0.001,11014.35,122.0,2.0,-1.0,11300.69,11365.34,1.0,-0.57
2020-10-11 14:00:00,11355.74,1008.0,89.34,0.001,11030.58,123.0,10.0,-1.0,11372.5,11355.74,1.0,0.15
2020-10-12 00:00:00,11353.86,1018.0,78.04,0.001,11005.62,124.0,9.0,-1.0,11328.22,11353.86,1.0,-0.23
2020-10-12 08:00:00,11342.24,1026.0,60.53,0.001,11056.22,125.0,7.0,-1.0,11394.63,11342.24,5.0,0.46
2020-10-12 20:00:00,11548.69,1038.0,95.54,0.0009,11048.95,126.0,11.0,1.0,11556.29,11548.69,1.0,-0.07
2020-10-13 04:00:00,11487.8,1046.0,61.73,0.0009,11117.66,127.0,7.0,-1.0,11559.69,11487.8,6.0,0.62
2020-10-13 15:00:00,11349.69,1057.0,85.19,0.0009,11022.23,128.0,10.0,1.0,11447.96,11349.69,1.0,-0.86
2020-10-13 21:00:00,11387.83,1063.0,43.05,0.0009,11054.78,129.0,5.0,1.0,11354.3,11387.83,2.0,0.3
2020-10-14 05:00:00,11390.0,1071.0,60.98,0.0009,11109.49,130.0,7.0,-1.0,11446.65,11390.0,6.0,0.49
2020-10-14 13:00:00,11362.92,1079.0,60.71,0.0009,11056.48,131.0,7.0,1.0,11417.4,11362.92,2.0,-0.48
2020-10-14 19:00:00,11337.37,1085.0,43.58,0.0009,11058.73,132.0,5.0,-1.0,11339.68,11337.37,1.0,0.02
2020-10-15 03:00:00,11389.9,1093.0,62.16,0.0009,11012.27,133.0,7.0,-1.0,11342.25,11389.9,6.0,-0.42
2020-10-15 11:00:00,11313.38,1101.0,60.56,0.0009,11075.74,134.0,7.0,-1.0,11378.96,11313.38,6.0,0.58
2020-10-15 17:00:00,11398.22,1107.0,43.99,0.0009,11156.83,135.0,5.0,1.0,11315.37,11398.22,4.0,0.73
2020-10-16 01:00:00,11505.12,1115.0,61.1,0.0009,11114.44,136.0,7.0,-1.0,11461.57,11505.12,6.0,-0.38
2020-10-16 09:00:00,11305.87,1123.0,60.57,0.0009,11327.32,137.0,7.0,-1.0,11526.65,11305.87,6.0,1.92
2020-10-16 17:00:00,11331.19,1131.0,60.39,0.0009,11247.58,138.0,7.0,-1.0,11251.98,11331.19,6.0,-0.7
2020-10-17 01:00:00,11319.32,1139.0,60.15,0.0009,11263.13,139.0,7.0,-1.0,11334.99,11319.32,6.0,0.14
2020-10-17 05:00:00,11363.01,1143.0,26.02,0.0009,11244.21,140.0,3.0,-1.0,11343.95,11363.01,1.0,-0.17
2020-10-17 13:00:00,11343.13,1151.0,61.29,0.0009,11237.43,141.0,7.0,1.0,11349.97,11343.13,6.0,-0.06
2020-10-17 21:00:00,11342.21,1159.0,60.94,0.0009,11252.41,142.0,7.0,1.0,11327.11,11342.21,3.0,0.13
2020-10-18 05:00:00,11368.02,1167.0,59.94,0.0009,11226.4,143.0,7.0,-1.0,11341.8,11368.02,6.0,-0.23
2020-10-18 13:00:00,11420.62,1175.0,60.21,0.0009,11226.09,144.0,7.0,1.0,11420.93,11420.62,1.0,-0.0
2020-10-18 21:00:00,11432.24,1183.0,60.36,0.0009,11231.81,145.0,7.0,-1.0,11438.06,11432.24,6.0,0.05
2020-10-19 08:00:00,11450.15,1194.0,86.65,0.0009,11239.72,146.0,10.0,1.0,11442.09,11450.15,1.0,0.07
2020-10-19 20:00:00,11669.56,1206.0,93.99,0.0009,11189.67,147.0,11.0,1.0,11721.75,11669.56,1.0,-0.45
2020-10-20 04:00:00,11719.95,1214.0,60.52,0.0009,11192.66,148.0,7.0,-1.0,11723.08,11719.95,6.0,0.03
2020-10-20 12:00:00,11834.79,1222.0,61.64,0.0009,11298.98,149.0,7.0,1.0,11723.43,11834.79,6.0,0.95
2020-10-20 19:00:00,11962.82,1229.0,52.68,0.0009,11344.47,150.0,6.0,1.0,11914.85,11962.82,3.0,0.4
